Date : 2022-01-18 20:20:19
Directory : /Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code
Total : 80 files,  3420 codes, 44 comments, 207 blanks, all 3671 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      1,835 |          0 |          3 |      1,838 |
| TypeScript React   |         38 |        860 |         27 |         81 |        968 |
| TypeScript         |         22 |        499 |         12 |         75 |        586 |
| JavaScript         |          5 |        121 |          5 |          5 |        131 |
| CSS                |          8 |         43 |          0 |          5 |         48 |
| Markdown           |          1 |         40 |          0 |         37 |         77 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          8 |          0 |          0 |          8 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |         80 |      3,420 |         44 |        207 |      3,671 |
| src                                                                                                                    |         69 |      1,382 |         38 |        156 |      1,576 |
| src/ComponentFormDrawer                                                                                                |         30 |        500 |          1 |         54 |        555 |
| src/ComponentFormDrawer/Button                                                                                         |          1 |         13 |          0 |          2 |         15 |
| src/ComponentFormDrawer/Input                                                                                          |          1 |         15 |          0 |          1 |         16 |
| src/ComponentFormDrawer/IntegrationForm                                                                                |          3 |         46 |          1 |          6 |         53 |
| src/ComponentFormDrawer/IntegrationTable                                                                               |          4 |         51 |          0 |          5 |         56 |
| src/ComponentFormDrawer/Number                                                                                         |          1 |         15 |          0 |          3 |         18 |
| src/ComponentFormDrawer/Public                                                                                         |         11 |        168 |          0 |         23 |        191 |
| src/ComponentFormDrawer/Select                                                                                         |          3 |         84 |          0 |          5 |         89 |
| src/ComponentFormDrawer/Textarea                                                                                       |          1 |         15 |          0 |          1 |         16 |
| src/ComposeOperator                                                                                                    |          4 |         26 |         12 |          7 |         45 |
| src/ComposeOperator/Components                                                                                         |          1 |         18 |          0 |          3 |         21 |
| src/Display                                                                                                            |         17 |        346 |         14 |         30 |        390 |
| src/Display/Preview                                                                                                    |         17 |        346 |         14 |         30 |        390 |
| src/Display/Preview/BaseForm                                                                                           |          1 |         18 |          0 |          2 |         20 |
| src/Display/Preview/Button                                                                                             |          1 |          6 |          0 |          2 |          8 |
| src/Display/Preview/Container                                                                                          |          2 |         21 |          0 |          4 |         25 |
| src/Display/Preview/Input                                                                                              |          2 |         44 |          0 |          2 |         46 |
| src/Display/Preview/IntegrationForm                                                                                    |          2 |         52 |          0 |          4 |         56 |
| src/Display/Preview/IntegrationTable                                                                                   |          2 |          0 |          0 |          2 |          2 |
| src/Display/Preview/Number                                                                                             |          1 |         41 |          0 |          3 |         44 |
| src/Display/Preview/Select                                                                                             |          1 |         34 |          0 |          2 |         36 |
| src/Display/Preview/Textarea                                                                                           |          1 |         40 |          0 |          2 |         42 |
| src/DragUtils                                                                                                          |          1 |          0 |          0 |          1 |          1 |
